frame,cx,cy,x,y,w,h,area,detected
485,735,210,731,204,12,12,88,1
485,758,261,745,232,27,62,1111,1
485,738,267,732,261,15,14,82,1
486,735,210,731,204,12,12,88,1
486,758,261,745,232,27,62,1111,1
486,738,267,732,261,15,14,82,1
487,758,262,745,234,27,60,1077,1
488,760,267,749,237,23,57,846,1
490,470,251,462,229,18,46,547,1
491,470,251,462,229,18,46,547,1
492,470,251,462,229,18,46,547,1
493,470,251,462,229,18,46,547,1
494,470,251,462,229,18,46,547,1
495,470,251,462,229,18,46,547,1
496,470,251,462,229,18,46,547,1
506,759,303,750,294,21,22,310,1
506,734,318,721,313,34,17,246,1
507,759,303,750,294,21,22,310,1
507,734,318,721,313,34,17,246,1
508,759,303,750,294,21,22,310,1
508,734,318,721,313,34,17,246,1
509,759,303,750,294,21,22,310,1
509,734,318,721,313,34,17,246,1
510,759,303,750,294,21,22,310,1
510,734,318,721,313,34,17,246,1
511,759,303,750,294,21,22,310,1
511,734,318,721,313,34,17,246,1
512,759,303,750,294,21,22,310,1
512,734,318,721,313,34,17,246,1
550,246,294,227,279,41,32,262,1
551,243,292,220,275,48,36,319,1
552,243,292,220,275,48,36,319,1
553,243,292,220,275,48,36,319,1
554,243,292,220,275,48,36,319,1
555,243,292,220,275,48,36,319,1
556,243,292,220,275,48,36,319,1
574,444,238,423,226,38,29,512,1
574,405,246,399,239,12,17,136,1
575,444,238,423,226,38,29,512,1
575,405,246,399,239,12,17,136,1
576,444,238,423,226,38,29,512,1
576,405,246,399,239,12,17,136,1
577,444,238,423,226,38,29,512,1
577,405,246,399,239,12,17,136,1
578,444,238,423,226,38,29,512,1
578,405,246,399,239,12,17,136,1
579,444,238,423,226,38,29,512,1
579,405,246,399,239,12,17,136,1
580,444,238,423,226,38,29,512,1
580,405,246,399,239,12,17,136,1
582,698,180,679,145,42,59,1029,1
583,707,187,679,145,65,68,1448,1
584,707,187,679,145,65,68,1448,1
585,707,187,679,145,65,68,1448,1
585,752,229,743,225,19,9,119,1
586,707,187,679,145,65,68,1448,1
586,752,229,743,225,19,9,119,1
